,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-01 01:25:S.000000,2023-08-01 07:58:S.000000,2023-08-01,2023-08-01 07:28:S.000000,2023-08-01 10:01:S.000000,2160,2,1800,5280,0,23520,21360,0.91,1800,0,420,5,1,9000,7080
1,2023-08-02 02:21:S.000000,2023-08-02 07:46:S.000000,2023-08-02,2023-08-02 07:48:S.000000,2023-08-02 09:49:S.000000,2640,0,2640,3600,0,19500,16860,0.86,2640,0,0,3,0,10620,2640
2,2023-08-02 17:16:S.000000,2023-08-02 18:56:S.000000,2023-08-02,2023-08-02 18:58:S.000000,2023-08-02 20:59:S.000000,1620,0,1620,720,0,6000,4380,0.73,1620,0,0,1,0,3660,0
3,2023-08-03 01:37:S.000000,2023-08-03 08:42:S.000000,2023-08-03,2023-08-03 03:34:S.000000,2023-08-03 10:46:S.000000,3180,2,2280,6420,900,25260,22080,0.87,2280,900,240,6,2,11220,4440
4,2023-08-04 01:57:S.000000,2023-08-04 08:26:S.000000,2023-08-04,2023-08-04 08:28:S.000000,2023-08-04 10:29:S.000000,5160,4,3300,1740,0,23340,18180,0.78,3300,0,1860,3,0,13860,2580
5,2023-08-05 02:03:S.000000,2023-08-05 09:26:S.000000,2023-08-05,2023-08-05 05:04:S.000000,2023-08-05 11:30:S.000000,4200,1,1080,4140,1380,25680,21480,0.84,1080,1380,2640,4,1,12480,4860
6,2023-08-06 03:05:S.000000,2023-08-06 14:10:S.000000,2023-08-06,2023-08-06 06:09:S.000000,2023-08-06 16:13:S.000000,11700,3,2280,3120,0,32700,21000,0.64,2280,0,16620,3,4,14820,3060
7,2023-08-06 16:23:S.000000,2023-08-06 19:41:S.000000,2023-08-06,2023-08-06 19:43:S.000000,2023-08-06 21:44:S.000000,3840,1,3120,0,0,11880,8040,0.68,3120,0,720,0,0,6480,1560
8,2023-08-07 02:58:S.000000,2023-08-07 08:51:S.000000,2023-08-07,2023-08-07 07:31:S.000000,2023-08-07 10:54:S.000000,3480,1,3480,1740,0,21120,17640,0.84,3480,0,60,2,1,13080,2820
9,2023-08-07 17:35:S.000000,2023-08-07 20:55:S.000000,2023-08-07,2023-08-07 20:58:S.000000,2023-08-07 22:58:S.000000,6300,0,5280,0,1020,12000,5700,0.48,5280,1020,0,0,0,3960,1740
