,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-07-31 23:18:S.000000,2023-08-01 07:36:S.000000,2023-08-01,2023-08-01 05:32:S.000000,2023-08-01 09:39:S.000000,4020,1,2520,5520,1020,29760,25740,0.86,2520,1020,600,3,1,13740,6480
1,2023-08-02 00:44:S.000000,2023-08-02 07:22:S.000000,2023-08-02,2023-08-02 03:05:S.000000,2023-08-02 10:19:S.000000,3000,1,3000,3120,0,23820,20820,0.87,3000,0,60,2,1,12420,5280
2,2023-08-02 11:19:S.000000,2023-08-02 13:34:S.000000,2023-08-02,2023-08-02 11:45:S.000000,2023-08-02 15:45:S.000000,2700,1,1260,0,0,3540,840,0.24,1260,0,6000,0,0,840,0
3,2023-08-02 22:14:S.000000,2023-08-02 22:47:S.000000,2023-08-02,2023-08-02 22:49:S.000000,2023-08-03 00:55:S.000000,1560,0,1560,0,0,1980,420,0.21,1560,0,0,0,0,420,0
4,2023-08-03 00:55:S.000000,2023-08-03 06:08:S.000000,2023-08-03,2023-08-03 06:10:S.000000,2023-08-03 08:11:S.000000,1920,0,1920,4200,0,18780,16860,0.9,1920,0,0,2,0,7080,5580
5,2023-08-04 00:28:S.000000,2023-08-04 07:28:S.000000,2023-08-04,2023-08-04 04:40:S.000000,2023-08-04 09:31:S.000000,4740,2,4380,2460,0,24840,20100,0.81,4380,0,720,3,1,12240,5400
6,2023-08-05 00:40:S.000000,2023-08-05 07:59:S.000000,2023-08-05,2023-08-05 08:01:S.000000,2023-08-05 10:02:S.000000,4200,3,2040,3600,0,26340,22140,0.84,2040,0,2160,2,0,14460,4080
7,2023-08-05 23:17:S.000000,2023-08-06 08:32:S.000000,2023-08-06,2023-08-06 01:18:S.000000,2023-08-06 10:35:S.000000,5880,1,5700,7500,0,32940,27060,0.82,5700,0,540,4,1,16380,3180
8,2023-08-06 12:47:S.000000,2023-08-06 18:49:S.000000,2023-08-06,2023-08-06 13:26:S.000000,2023-08-06 21:51:S.000000,14460,4,1500,120,1560,19500,5040,0.26,1500,1560,13620,1,2,4920,0
9,2023-08-07 00:06:S.000000,2023-08-07 06:53:S.000000,2023-08-07,2023-08-07 06:55:S.000000,2023-08-07 08:56:S.000000,1500,0,1500,5160,0,24420,22920,0.94,1500,0,0,3,0,10740,7020
