,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-01 02:12:S.000000,2023-08-01 08:59:S.000000,2023-08-01,2023-08-01 06:14:S.000000,2023-08-01 11:02:S.000000,2580,4,1980,4440,0,23760,21180,0.89,1980,0,1260,6,3,12480,4260
1,2023-08-03 02:58:S.000000,2023-08-03 09:16:S.000000,2023-08-03,2023-08-03 06:07:S.000000,2023-08-03 11:19:S.000000,3060,2,1560,3240,1500,22380,19320,0.86,1560,1500,300,3,2,13380,2700
2,2023-08-04 01:23:S.000000,2023-08-04 07:23:S.000000,2023-08-04,2023-08-04 04:28:S.000000,2023-08-04 09:26:S.000000,2340,4,2340,5460,0,20940,18600,0.89,2340,0,660,4,4,7320,5820
3,2023-08-04 12:16:S.000000,2023-08-04 13:41:S.000000,2023-08-04,2023-08-04 13:36:S.000000,2023-08-04 15:44:S.000000,2400,2,2400,0,0,4920,2520,0.51,2400,0,180,0,1,1320,1200
4,2023-08-05 01:51:S.000000,2023-08-05 10:37:S.000000,2023-08-05,2023-08-05 05:55:S.000000,2023-08-05 12:40:S.000000,8100,2,5760,1800,1440,31200,23100,0.74,5760,1440,1260,1,3,14640,6660
5,2023-08-05 23:44:S.000000,2023-08-06 13:51:S.000000,2023-08-06,2023-08-06 00:10:S.000000,2023-08-06 15:54:S.000000,9780,7,540,7080,0,41580,31800,0.76,540,0,18480,5,8,20820,3900
6,2023-08-06 17:30:S.000000,2023-08-06 18:31:S.000000,2023-08-06,2023-08-06 18:32:S.000000,2023-08-06 20:34:S.000000,2220,0,2220,0,0,3660,1440,0.39,2220,0,0,0,0,300,1140
7,2023-08-07 01:36:S.000000,2023-08-07 08:37:S.000000,2023-08-07,2023-08-07 03:23:S.000000,2023-08-07 10:40:S.000000,7860,2,5580,4440,0,24360,16500,0.68,5580,0,3180,3,3,9780,2280
8,2023-08-07 11:04:S.000000,2023-08-07 11:33:S.000000,2023-08-07,2023-08-07 11:34:S.000000,2023-08-07 13:36:S.000000,840,0,840,0,0,1740,900,0.52,840,0,0,0,0,900,0
9,2023-08-07 15:14:S.000000,2023-08-07 17:27:S.000000,2023-08-07,2023-08-07 16:48:S.000000,2023-08-07 19:30:S.000000,1740,1,1260,1020,0,7860,6120,0.78,1260,0,600,0,0,3300,1800
