,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1095798508968091648,2023-04-16 20:14:03.339,GMT+09:00,lumi.gateway.aqcn03,2023-04-16 20:14:03.339,1,1,3.3.2_0009.0004,Smart Hub E1,lumi1.54ef4432208f
1,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:15:19.836,GMT+09:00,lumi.motion.agl02,2023-04-16 20:15:19.836,3,1,0.0.0_0035,Motion Sensor T1,lumi.54ef44100051aa5f
2,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:15:28.317,GMT+09:00,lumi.plug.maeu01,2023-04-16 20:15:28.317,3,1,0.0.0_0041,Smart Plug,lumi.54ef4410001e9c6b
3,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:15:38.810,GMT+09:00,lumi.sensor_ht.agl02,2023-04-16 20:15:38.810,3,1,0.0.0_0028,Temperature and Humidity Sensor T1,lumi.54ef44100053a193
4,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:16:49.523,GMT+09:00,lumi.magnet.agl02,2023-04-16 20:16:49.523,3,1,0.0.0_0029,Door Sensor 1,lumi.54ef4410003fde9f
5,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:17:54.070,GMT+09:00,lumi.magnet.agl02,2023-04-16 20:17:54.070,3,1,0.0.0_0029,Door Sensor 2,lumi.54ef4410003fd7fe
6,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:19:14.218,GMT+09:00,lumi.sen_ill.agl01,2023-04-16 20:19:14.218,3,1,0.0.0_0027,Brightness Sensor T1,lumi.4cf8cdf3c8dcfa2
7,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-16 20:21:06.691,GMT+09:00,lumi.vibration.aq1,2023-04-16 20:21:06.691,3,1,0.0.0_0008,Vibration Sensor Chair,lumi.158d0008d0cc42
8,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-23 10:40:59.280,GMT+09:00,lumi.vibration.aq1,2023-04-23 10:40:59.280,3,1,0.0.0_0008,Vibration Sensor Washer,lumi.158d0008d0bfc7
9,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-23 21:23:33.494,GMT+09:00,lumi.vibration.aq1,2023-04-23 21:23:33.494,3,1,0.0.0_0008,Vibration Sensor Cleaner,lumi.158d0008d0c07b
10,lumi1.54ef4432208f,real2.1095798508968091648,2023-04-23 21:27:39.086,GMT+09:00,lumi.vibration.aq1,2023-04-23 21:27:39.086,3,1,0.0.0_0008,Vibration Sensor Fridge,lumi.158d0008d0be2b
