,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1106171710496067584,2023-07-27 03:30:45.322,GMT+09:00,lumi.gateway.aqcn03,2023-07-27 03:30:45.322,1,1,3.3.0_0020.0004,Smart Hub E1,lumi1.54ef4437a130
1,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:36:12.348,GMT+09:00,lumi.vibration.aq1,2023-07-27 03:36:12.348,3,1,0.0.0_0008,Washer,lumi.158d0008f34e43
2,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:37:56.532,GMT+09:00,lumi.vibration.aq1,2023-07-27 03:37:56.532,3,1,0.0.0_0008,Cleaner,lumi.158d0008f3467a
3,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:38:52.398,GMT+09:00,lumi.vibration.aq1,2023-07-27 03:38:52.398,3,1,0.0.0_0008,Chair,lumi.158d0008f34c7a
4,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:39:31.803,GMT+09:00,lumi.vibration.aq1,2023-07-27 03:39:31.803,3,1,0.0.0_0008,Fridge,lumi.158d0008f34cd6
5,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:40:31.525,GMT+09:00,lumi.magnet.agl02,2023-07-27 03:40:31.525,3,1,0.0.0_0029,Door,lumi.54ef4410003fd291
6,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:41:17.159,GMT+09:00,lumi.magnet.agl02,2023-07-27 03:41:17.159,3,1,0.0.0_0029,Microwave,lumi.54ef4410003fe82c
7,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:42:02.686,GMT+09:00,lumi.sensor_ht.agl02,2023-07-27 03:42:02.686,3,1,0.0.0_0028,emv,lumi.54ef4410004b18a1
8,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:43:55.308,GMT+09:00,lumi.sen_ill.agl01,2023-07-27 03:43:55.308,3,1,0.0.0_0027,Brightness,lumi.54ef44100065cf48
9,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:45:22.348,GMT+09:00,lumi.motion.agl02,2023-07-27 03:45:22.348,3,1,0.0.0_0035,Motion Sensor,lumi.54ef44100051b0d7
10,lumi1.54ef4437a130,real2.1106171710496067584,2023-07-27 03:47:03.993,GMT+09:00,lumi.plug.maeu01,2023-07-27 03:47:03.993,3,1,0.0.0_0041,tv,lumi.54ef44100062a003
