,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
47,9,,13.1.85,"05/29/2023, 03:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 02:30:00"
48,8,,13.1.85,"05/29/2023, 04:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/29/2023, 03:30:00"
49,7,,13.1.85,"05/29/2023, 04:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 04:00:00"
50,6,,13.1.85,"05/29/2023, 05:00:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 04:30:00"
51,5,,13.1.85,"05/29/2023, 09:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 08:30:00"
52,4,,13.1.85,"05/29/2023, 13:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 12:30:00"
53,3,,13.1.85,"05/29/2023, 13:30:00","{""1"":3,""2"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 13:00:00"
54,2,,13.1.85,"05/29/2023, 14:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 14:00:00"
55,1,,13.1.85,"05/29/2023, 21:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/29/2023, 21:00:00"
56,0,,13.1.85,"05/29/2023, 23:30:00","{""1"":2,""2"":2}",lumi.158d0008f34cd6,4,"05/29/2023, 23:00:00"
57,8,,13.1.85,"05/30/2023, 01:30:00","{""2"":1}",lumi.158d0008f34cd6,4,"05/30/2023, 01:00:00"
58,7,,13.1.85,"05/30/2023, 10:30:00","{""1"":2}",lumi.158d0008f34cd6,4,"05/30/2023, 10:00:00"
59,6,,13.1.85,"05/31/2023, 00:00:00","{""1"":1}",lumi.158d0008f34cd6,4,"05/30/2023, 23:30:00"
60,5,,13.1.85,"05/31/2023, 00:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"05/31/2023, 00:00:00"
61,4,,13.1.85,"06/01/2023, 02:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"06/01/2023, 01:30:00"
62,3,,13.1.85,"06/01/2023, 14:30:00","{""1"":2,""2"":1}",lumi.158d0008f34cd6,4,"06/01/2023, 14:00:00"
63,2,,13.1.85,"06/01/2023, 15:30:00","{""1"":2,""2"":2}",lumi.158d0008f34cd6,4,"06/01/2023, 15:00:00"
64,1,,13.1.85,"06/01/2023, 20:00:00","{""1"":2}",lumi.158d0008f34cd6,4,"06/01/2023, 19:30:00"
65,0,,13.1.85,"06/01/2023, 20:30:00","{""1"":1}",lumi.158d0008f34cd6,4,"06/01/2023, 20:00:00"
66,12,,13.1.85,"06/02/2023, 02:30:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"06/02/2023, 02:00:00"
67,11,,13.1.85,"06/02/2023, 14:00:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"06/02/2023, 13:30:00"
68,10,,13.1.85,"06/02/2023, 16:00:00","{""1"":1,""2"":1}",lumi.158d0008f34cd6,4,"06/02/2023, 15:30:00"
