,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1105141556232634368,2023-07-22 02:01:59.322,GMT+09:00,lumi.gateway.aqcn03,2023-07-22 02:01:59.322,1,1,4.0.2_0016.0004,Hub E1,lumi1.54ef4437986f
1,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:05:54.305,GMT+09:00,lumi.motion.agl02,2023-07-22 02:05:54.305,3,1,0.0.0_0035,motion,lumi.54ef44100051aff9
2,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:09:21.406,GMT+09:00,lumi.magnet.agl02,2023-07-22 02:09:21.406,3,1,0.0.0_0029,door,lumi.54ef4410003fe65f
3,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:10:58.384,GMT+09:00,lumi.magnet.agl02,2023-07-22 02:10:58.384,3,1,0.0.0_0029,microwave,lumi.54ef4410003fe5fd
4,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:12:54.258,GMT+09:00,lumi.sen_ill.agl01,2023-07-22 02:12:54.258,3,1,0.0.0_0027,brightness,lumi.54ef44100065d28b
5,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:14:39.405,GMT+09:00,lumi.sensor_ht.agl02,2023-07-22 02:14:39.405,3,1,0.0.0_0028,env,lumi.54ef4410004b0c76
6,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:20:08.245,GMT+09:00,lumi.plug.maeu01,2023-07-22 02:20:08.245,3,1,0.0.0_0041,tv,lumi.54ef44100062b6b9
7,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:21:39.124,GMT+09:00,lumi.vibration.aq1,2023-07-22 02:21:39.124,3,1,0.0.0_0008,fridge,lumi.158d0008f34a8f
8,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:26:55.047,GMT+09:00,lumi.vibration.aq1,2023-07-22 02:26:55.047,3,1,0.0.0_0008,washer,lumi.158d0008f34a74
9,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:27:58.497,GMT+09:00,lumi.vibration.aq1,2023-07-22 02:27:58.497,3,1,0.0.0_0008,chair,lumi.158d0008f34fdf
10,lumi1.54ef4437986f,real2.1105141556232634368,2023-07-22 02:29:33.071,GMT+09:00,lumi.vibration.aq1,2023-07-22 02:29:33.071,3,1,0.0.0_0008,cleaner,lumi.158d0008f35087
