,Unnamed: 0,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
46,19,,13.1.85,"05/15/2023, 08:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/15/2023, 08:00:00"
47,18,,13.1.85,"05/15/2023, 09:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/15/2023, 08:30:00"
48,17,,13.1.85,"05/15/2023, 23:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/15/2023, 23:00:00"
49,16,,13.1.85,"05/16/2023, 00:00:00","{""1"":7}",lumi.158d0008f3a4c6,4,"05/15/2023, 23:30:00"
50,15,,13.1.85,"05/16/2023, 00:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/16/2023, 00:00:00"
51,14,,13.1.85,"05/16/2023, 01:00:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/16/2023, 00:30:00"
52,13,,13.1.85,"05/16/2023, 01:30:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/16/2023, 01:00:00"
53,12,,13.1.85,"05/16/2023, 09:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/16/2023, 08:30:00"
54,11,,13.1.85,"05/17/2023, 00:30:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/17/2023, 00:00:00"
55,10,,13.1.85,"05/17/2023, 01:00:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/17/2023, 00:30:00"
56,9,,13.1.85,"05/17/2023, 01:30:00","{""1"":3}",lumi.158d0008f3a4c6,4,"05/17/2023, 01:00:00"
57,8,,13.1.85,"05/17/2023, 02:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/17/2023, 01:30:00"
58,7,,13.1.85,"05/17/2023, 03:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/17/2023, 02:30:00"
59,6,,13.1.85,"05/17/2023, 11:00:00","{""1"":2}",lumi.158d0008f3a4c6,4,"05/17/2023, 10:30:00"
60,5,,13.1.85,"05/17/2023, 11:30:00","{""1"":6}",lumi.158d0008f3a4c6,4,"05/17/2023, 11:00:00"
61,4,,13.1.85,"05/17/2023, 12:00:00","{""1"":4}",lumi.158d0008f3a4c6,4,"05/17/2023, 11:30:00"
62,3,,13.1.85,"05/17/2023, 12:30:00","{""1"":3,""2"":1}",lumi.158d0008f3a4c6,4,"05/17/2023, 12:00:00"
63,2,,13.1.85,"05/17/2023, 21:00:00","{""1"":1}",lumi.158d0008f3a4c6,4,"05/17/2023, 20:30:00"
64,1,,13.1.85,"05/17/2023, 21:30:00","{""1"":4,""2"":1}",lumi.158d0008f3a4c6,4,"05/17/2023, 21:00:00"
