,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1106634928438886400,2023-08-01 21:56:46.449,GMT+09:00,lumi.gateway.aqcn03,2023-08-01 21:56:46.449,1,1,3.3.0_0020.0004,Smart Hub E1,lumi1.54ef4437dd24
1,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-01 22:01:15.792,GMT+09:00,lumi.sensor_ht.agl02,2023-08-01 22:01:15.792,3,1,0.0.0_0028,Temperature and Humidity Sensor,lumi.54ef4410004b16e7
2,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-01 22:08:36.208,GMT+09:00,lumi.magnet.agl02,2023-08-01 22:08:36.208,3,1,0.0.0_0029,Door,lumi.54ef4410003fe2da
3,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-01 22:10:18.294,GMT+09:00,lumi.sen_ill.agl01,2023-08-01 22:10:18.294,3,1,0.0.0_0027,Brightness Sensor,lumi.54ef44100065d508
4,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-01 22:21:32.996,GMT+09:00,lumi.motion.agl02,2023-08-01 22:21:32.996,3,1,0.0.0_0035,Motion Sensor,lumi.54ef44100051ad7c
5,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-02 21:00:17.685,GMT+09:00,lumi.magnet.agl02,2023-08-02 21:00:17.685,3,1,0.0.0_0029,Microwave,lumi.54ef4410003fd152
6,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-02 21:04:24.077,GMT+09:00,lumi.vibration.aq1,2023-08-02 21:04:24.077,3,1,0.0.0_0008,Chair,lumi.158d0008f34ae7
7,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-02 21:07:19.611,GMT+09:00,lumi.vibration.aq1,2023-08-02 21:07:19.611,3,1,0.0.0_0008,Fridge,lumi.158d0008f34f33
8,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-02 21:22:46.515,GMT+09:00,lumi.vibration.aq1,2023-08-02 21:22:46.515,3,1,0.0.0_0008,Washer,lumi.158d0008f34b37
9,lumi1.54ef4437dd24,real2.1106634928438886400,2023-08-02 21:23:46.113,GMT+09:00,lumi.vibration.aq1,2023-08-02 21:23:46.113,3,1,0.0.0_0008,Cleaner,lumi.158d0008f34a20
10,lumi1.54ef4437dd24,real2.1106634928438886400,2023-10-11 21:12:06.684,GMT+09:00,lumi.plug.maeu01,2023-10-11 21:12:06.684,3,1,0.0.0_0041,tv,lumi.54ef44100062b07f
