,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-20 21:56:S.000000,2023-08-21 13:40:S.000000,2023-08-21,2023-08-21 02:10:S.000000,2023-08-21 15:43:S.000000,23940,6,6660,3000,0,52320,28380,0.54,6660,0,21600,3,7,17880,7500
1,2023-08-22 00:32:S.000000,2023-08-22 08:02:S.000000,2023-08-22,2023-08-22 02:42:S.000000,2023-08-22 10:06:S.000000,7260,3,6060,4260,0,26760,19500,0.73,6060,0,1440,2,1,10860,4380
2,2023-08-23 00:19:S.000000,2023-08-23 07:51:S.000000,2023-08-23,2023-08-23 05:39:S.000000,2023-08-23 09:54:S.000000,3240,2,1380,3840,0,26460,23220,0.88,1380,0,2520,3,2,11640,7740
3,2023-08-23 23:58:S.000000,2023-08-24 07:56:S.000000,2023-08-24,2023-08-24 03:31:S.000000,2023-08-24 09:59:S.000000,3360,2,1980,6120,600,28200,24840,0.88,1980,600,1260,4,2,10980,7740
4,2023-08-25 00:30:S.000000,2023-08-25 07:48:S.000000,2023-08-25,2023-08-25 07:50:S.000000,2023-08-25 09:51:S.000000,1140,0,1140,5220,0,26280,25140,0.96,1140,0,0,4,0,11100,8820
5,2023-08-26 01:54:S.000000,2023-08-26 07:58:S.000000,2023-08-26,2023-08-26 07:18:S.000000,2023-08-26 10:01:S.000000,1320,2,780,5400,0,21660,20340,0.94,780,0,720,3,1,9300,5640
6,2023-08-27 00:10:S.000000,2023-08-27 00:47:S.000000,2023-08-27,2023-08-27 00:48:S.000000,2023-08-27 02:50:S.000000,720,0,720,0,0,2220,1500,0.68,720,0,0,0,0,300,1200
7,2023-08-27 04:48:S.000000,2023-08-27 08:14:S.000000,2023-08-27,2023-08-27 08:09:S.000000,2023-08-27 10:55:S.000000,1320,1,1320,3420,0,12180,10860,0.89,1320,0,180,2,1,4380,3060
8,2023-08-27 13:42:S.000000,2023-08-27 16:10:S.000000,2023-08-27,2023-08-27 16:12:S.000000,2023-08-27 18:20:S.000000,960,0,960,2100,0,8880,7920,0.89,960,0,0,1,0,3360,2460
9,2023-08-27 23:59:S.000000,2023-08-28 07:26:S.000000,2023-08-28,2023-08-28 01:04:S.000000,2023-08-28 09:29:S.000000,2580,2,2220,6720,0,26580,24000,0.9,2220,0,600,5,1,13500,3780
