,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-21 04:15:S.000000,2023-08-21 11:47:S.000000,2023-08-21,2023-08-21 10:50:S.000000,2023-08-21 13:50:S.000000,4620,2,2040,2940,0,26820,22200,0.83,2040,0,2880,2,2,14580,4680
1,2023-08-22 03:12:S.000000,2023-08-22 04:16:S.000000,2023-08-22,2023-08-22 07:20:S.000000,2023-08-22 07:20:S.000000,960,0,960,0,0,3840,2880,0.75,960,0,0,0,0,1740,1140
2,2023-08-22 10:49:S.000000,2023-08-22 11:31:S.000000,2023-08-22,2023-08-22 11:46:S.000000,2023-08-22 13:34:S.000000,780,1,780,0,0,2460,1680,0.68,780,0,60,0,0,540,1140
3,2023-08-23 05:35:S.000000,2023-08-23 11:45:S.000000,2023-08-23,2023-08-23 06:06:S.000000,2023-08-23 13:48:S.000000,4260,4,720,3360,0,19680,15420,0.78,720,0,6060,3,3,7920,4140
4,2023-08-24 02:24:S.000000,2023-08-24 11:12:S.000000,2023-08-24,2023-08-24 03:32:S.000000,2023-08-24 13:15:S.000000,10560,14,2100,2700,0,28740,18180,0.63,2100,0,11400,5,13,14040,1440
5,2023-08-24 14:27:S.000000,2023-08-24 15:41:S.000000,2023-08-24,2023-08-24 15:03:S.000000,2023-08-24 17:44:S.000000,3000,1,780,0,1020,4320,1320,0.31,780,1020,1320,0,0,1320,0
6,2023-08-25 07:21:S.000000,2023-08-25 11:16:S.000000,2023-08-25,2023-08-25 10:37:S.000000,2023-08-25 13:19:S.000000,3000,3,1500,0,540,13920,10920,0.78,1500,540,1140,0,1,8280,2640
7,2023-08-26 04:16:S.000000,2023-08-26 13:24:S.000000,2023-08-26,2023-08-26 05:30:S.000000,2023-08-26 15:34:S.000000,8160,12,1500,1620,0,27300,19140,0.7,1500,0,12240,2,14,13080,4440
8,2023-08-27 03:11:S.000000,2023-08-27 08:14:S.000000,2023-08-27,2023-08-27 08:15:S.000000,2023-08-27 10:18:S.000000,2580,2,840,1380,0,18180,15600,0.86,840,0,1740,1,0,9660,4560
9,2023-08-28 06:22:S.000000,2023-08-28 10:03:S.000000,2023-08-28,2023-08-28 06:46:S.000000,2023-08-28 12:06:S.000000,2700,4,1200,1380,0,12960,10260,0.79,1200,0,1800,2,3,8040,840
