,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-21 00:45:S.000000,2023-08-21 07:31:S.000000,2023-08-21,2023-08-21 07:33:S.000000,2023-08-21 09:34:S.000000,2880,0,2880,4980,0,24360,21480,0.88,2880,0,0,3,0,8160,8340
1,2023-08-22 00:08:S.000000,2023-08-22 07:33:S.000000,2023-08-22,2023-08-22 07:35:S.000000,2023-08-22 09:36:S.000000,1320,0,1320,5820,0,26700,25380,0.95,1320,0,0,3,0,12060,7500
2,2023-08-22 23:43:S.000000,2023-08-23 07:32:S.000000,2023-08-23,2023-08-23 07:34:S.000000,2023-08-23 09:35:S.000000,1200,1,840,7260,0,28140,26940,0.96,840,0,360,4,0,12660,7020
3,2023-08-23 22:59:S.000000,2023-08-24 07:23:S.000000,2023-08-24,2023-08-24 00:23:S.000000,2023-08-24 09:26:S.000000,5220,2,1860,1020,1440,29580,24360,0.82,1860,1440,2580,1,0,14040,9300
4,2023-08-24 22:39:S.000000,2023-08-25 08:16:S.000000,2023-08-25,2023-08-25 08:18:S.000000,2023-08-25 10:19:S.000000,4560,2,2760,7080,0,34620,30060,0.87,2760,0,1800,5,0,10440,12540
5,2023-08-25 22:05:S.000000,2023-08-26 11:30:S.000000,2023-08-26,2023-08-26 08:34:S.000000,2023-08-26 13:33:S.000000,8100,4,3000,11460,4200,47820,39720,0.83,3000,4200,1380,10,3,17220,11040
6,2023-08-27 01:24:S.000000,2023-08-27 10:25:S.000000,2023-08-27,2023-08-27 10:27:S.000000,2023-08-27 12:28:S.000000,3000,2,1140,5340,0,32460,29460,0.91,1140,0,1860,4,0,14640,9480
7,2023-08-27 13:01:S.000000,2023-08-27 15:37:S.000000,2023-08-27,2023-08-27 15:38:S.000000,2023-08-27 17:41:S.000000,8520,0,7620,0,900,9360,840,0.09,7620,900,0,0,0,840,0
8,2023-08-27 17:58:S.000000,2023-08-27 21:16:S.000000,2023-08-27,2023-08-27 21:17:S.000000,2023-08-27 23:19:S.000000,3000,0,3000,0,0,11880,8880,0.75,3000,0,0,0,0,3900,4980
9,2023-08-27 23:47:S.000000,2023-08-28 07:31:S.000000,2023-08-28,2023-08-28 07:33:S.000000,2023-08-28 09:34:S.000000,7620,2,6420,1020,0,27840,20220,0.73,6420,0,1200,2,0,14460,4740
