,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-21 00:19:S.000000,2023-08-21 05:41:S.000000,2023-08-21,2023-08-21 03:55:S.000000,2023-08-21 07:57:S.000000,2100,1,1260,3840,0,19140,17040,0.89,1260,0,1020,4,1,11820,1380
1,2023-08-21 07:57:S.000000,2023-08-21 09:14:S.000000,2023-08-21,2023-08-21 09:15:S.000000,2023-08-21 11:17:S.000000,1080,0,1080,0,0,4620,3540,0.77,1080,0,0,0,0,2880,660
2,2023-08-21 21:41:S.000000,2023-08-22 05:37:S.000000,2023-08-22,2023-08-22 05:39:S.000000,2023-08-22 07:40:S.000000,3720,1,3360,3660,0,28560,24840,0.87,3360,0,360,4,0,19440,1740
3,2023-08-23 00:40:S.000000,2023-08-23 09:25:S.000000,2023-08-23,2023-08-23 08:22:S.000000,2023-08-23 11:28:S.000000,3180,6,780,6420,0,30720,27540,0.9,780,0,3180,4,2,17040,4080
4,2023-08-23 22:07:S.000000,2023-08-24 08:54:S.000000,2023-08-24,2023-08-24 00:05:S.000000,2023-08-24 10:57:S.000000,7320,5,3780,0,0,38160,30840,0.81,3780,0,4200,0,4,26100,4740
5,2023-08-24 23:23:S.000000,2023-08-25 05:36:S.000000,2023-08-25,2023-08-25 05:38:S.000000,2023-08-25 07:39:S.000000,3720,3,2100,4140,0,22380,18660,0.83,2100,0,1620,1,0,12000,2520
6,2023-08-26 01:43:S.000000,2023-08-26 08:04:S.000000,2023-08-26,2023-08-26 08:05:S.000000,2023-08-26 10:07:S.000000,3600,3,1200,3540,0,22860,19260,0.84,1200,0,2400,3,0,11220,4500
7,2023-08-27 01:00:S.000000,2023-08-27 10:12:S.000000,2023-08-27,2023-08-27 04:26:S.000000,2023-08-27 12:15:S.000000,2520,5,1200,6240,0,32880,30360,0.92,1200,0,1560,7,2,21720,2400
8,2023-08-27 20:47:S.000000,2023-08-27 21:32:S.000000,2023-08-27,2023-08-27 21:34:S.000000,2023-08-27 23:35:S.000000,1500,0,1500,0,0,2700,1200,0.44,1500,0,0,0,0,1200,0
9,2023-08-28 00:34:S.000000,2023-08-28 05:51:S.000000,2023-08-28,2023-08-28 05:53:S.000000,2023-08-28 07:54:S.000000,2520,1,960,1800,600,19020,16500,0.87,960,600,960,1,0,11640,3060
