,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-22 00:52:S.000000,2023-08-22 13:07:S.000000,2023-08-22,2023-08-22 09:33:S.000000,2023-08-22 15:10:S.000000,10080,5,3060,600,1980,42360,32280,0.76,3060,1980,6780,2,15,27360,4320
1,2023-08-23 09:19:S.000000,2023-08-23 11:05:S.000000,2023-08-23,2023-08-23 10:02:S.000000,2023-08-23 13:20:S.000000,780,1,360,600,0,5160,4380,0.85,360,0,1620,1,2,3060,720
2,2023-08-23 23:00:S.000000,2023-08-24 11:17:S.000000,2023-08-24,2023-08-23 23:47:S.000000,2023-08-24 13:20:S.000000,7200,2,2040,10020,0,41640,34440,0.83,2040,0,7740,6,8,10140,14280
3,2023-08-25 01:39:S.000000,2023-08-25 11:02:S.000000,2023-08-25,2023-08-25 02:27:S.000000,2023-08-25 13:05:S.000000,4020,4,1860,6720,0,33240,29220,0.88,1860,0,2700,11,7,13020,9480
