,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1105901277359095808,2023-07-21 10:58:15.995,GMT+09:00,lumi.gateway.aqcn03,2023-07-21 10:58:15.995,1,0,3.3.0_0020.0004,Hub E1,lumi1.54ef443787b5
1,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:00:11.881,GMT+09:00,lumi.magnet.agl02,2023-07-21 11:00:11.881,3,0,0.0.0_0029,door,lumi.54ef4410003fd550
2,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:02:46.088,GMT+09:00,lumi.magnet.agl02,2023-07-21 11:02:46.088,3,0,0.0.0_0029,microwave,lumi.54ef4410003fe622
3,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:05:24.851,GMT+09:00,lumi.motion.agl02,2023-07-21 11:05:24.851,3,0,0.0.0_0035,motion,lumi.54ef44100051af6d
4,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:08:05.456,GMT+09:00,lumi.sen_ill.agl01,2023-07-21 11:08:05.456,3,0,0.0.0_0027,brightness,lumi.54ef44100065d162
5,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:09:59.143,GMT+09:00,lumi.sensor_ht.agl02,2023-07-21 11:09:59.143,3,0,0.0.0_0028,env,lumi.54ef4410004b0b00
6,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:11:00.917,GMT+09:00,lumi.vibration.aq1,2023-07-21 11:11:00.917,3,0,0.0.0_0008,fridge,lumi.158d0008f35079
7,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:17:49.535,GMT+09:00,lumi.vibration.aq1,2023-07-21 11:17:49.535,3,0,0.0.0_0008,chair,lumi.158d0008f3a4dd
8,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:20:03.357,GMT+09:00,lumi.vibration.aq1,2023-07-21 11:20:03.357,3,0,0.0.0_0008,cleaner,lumi.158d000896caeb
9,lumi1.54ef443787b5,real2.1105901277359095808,2023-07-21 11:22:23.415,GMT+09:00,lumi.vibration.aq1,2023-07-21 11:22:23.415,3,0,0.0.0_0008,washer,lumi.158d0008f34d26
