,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1106526963740925952,2023-05-12 11:23:36.996,GMT+09:00,lumi.gateway.aqcn03,2023-05-12 11:23:36.996,1,0,3.3.0_0020.0004,Hub E1,lumi1.54ef4437dd2e
1,lumi1.54ef4437dd2e,real2.1106526963740925952,2023-05-12 11:29:15.970,GMT+09:00,lumi.sensor_ht.agl02,2023-05-12 11:29:15.970,3,0,0.0.0_0028,Temperature and Humidity Sensor,lumi.54ef4410004b0c27
2,lumi1.54ef4437dd2e,real2.1106526963740925952,2023-05-12 11:32:28.703,GMT+09:00,lumi.vibration.aq1,2023-05-12 11:32:28.703,3,0,0.0.0_0008,Cooker,lumi.158d0008f34ec7
3,,real2.1106526963740925952,2023-07-23 16:23:58.520,GMT+09:00,lumi.gateway.aqcn03,2023-07-23 16:23:58.520,1,1,3.3.0_0020.0004,Hub E1,lumi1.54ef443798bf
4,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:23:58.520,GMT+09:00,lumi.motion.agl02,2023-07-23 16:23:58.520,3,0,0.0.0_0035,모션 센서 T1,lumi.54ef44100051b480
5,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:27:42.127,GMT+09:00,lumi.vibration.aq1,2023-07-23 16:27:42.127,3,1,0.0.0_0008,cleaner,lumi.158d0008f34a85
6,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:28:37.483,GMT+09:00,lumi.motion.agl02,2023-07-23 16:28:37.483,3,1,0.0.0_0035,motion,lumi.54ef44100051ac1c
7,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:29:49.626,GMT+09:00,lumi.vibration.aq1,2023-07-23 16:29:49.626,3,1,0.0.0_0008,chair,lumi.158d0008f34c71
8,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:32:18.485,GMT+09:00,lumi.vibration.aq1,2023-07-23 16:32:18.485,3,1,0.0.0_0008,fridge,lumi.158d0008f3491f
9,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:33:56.251,GMT+09:00,lumi.sen_ill.agl01,2023-07-23 16:33:56.251,3,1,0.0.0_0027,brightness,lumi.54ef44100065cf4d
10,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:35:37.277,GMT+09:00,lumi.magnet.agl02,2023-07-23 16:35:37.277,3,1,0.0.0_0029,microwave,lumi.54ef4410003fe7b5
11,lumi1.54ef443798bf,real2.1106526963740925952,2023-07-23 16:36:34.701,GMT+09:00,lumi.magnet.agl02,2023-07-23 16:36:34.701,3,1,0.0.0_0029,door,lumi.54ef4410003fe837
