,parentDid,positionId,createTime,timeZone,model,updateTime,modelType,state,firmwareVersion,deviceName,did
0,,real2.1105426721776357376,2023-08-10 22:23:30.263,GMT+09:00,lumi.gateway.aqcn03,2023-08-10 22:23:30.263,1,1,3.3.0_0020.0004,Hub E1,lumi1.54ef44379f3c
1,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-10 22:26:29.003,GMT+09:00,lumi.motion.agl02,2023-08-10 22:26:29.003,3,1,0.0.0_0035,Motion,lumi.54ef44100051b2bd
2,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:34:22.427,GMT+09:00,lumi.magnet.agl02,2023-08-21 21:34:22.427,3,1,0.0.0_0029,Door,lumi.54ef4410003fe1c9
3,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:36:18.710,GMT+09:00,lumi.sen_ill.agl01,2023-08-21 21:36:18.710,3,1,0.0.0_0027,Brightness,lumi.54ef44100065d5b3
4,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:37:47.022,GMT+09:00,lumi.vibration.aq1,2023-08-21 21:37:47.022,3,1,0.0.0_0008,Fridge,lumi.158d0008f34290
5,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:41:25.396,GMT+09:00,lumi.magnet.agl02,2023-08-21 21:41:25.396,3,1,0.0.0_0029,Microwave,lumi.54ef4410003fe55a
6,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:45:32.587,GMT+09:00,lumi.vibration.aq1,2023-08-21 21:45:32.587,3,1,0.0.0_0008,Chair,lumi.158d0008f34bf3
7,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:46:26.958,GMT+09:00,lumi.vibration.aq1,2023-08-21 21:46:26.958,3,1,0.0.0_0008,Washer,lumi.158d0008f34d64
8,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:48:04.352,GMT+09:00,lumi.vibration.aq1,2023-08-21 21:48:04.352,3,1,0.0.0_0008,Cleaner,lumi.158d0008f34935
9,lumi1.54ef44379f3c,real2.1105426721776357376,2023-08-21 21:49:52.877,GMT+09:00,lumi.sensor_ht.agl02,2023-08-21 21:49:52.877,3,1,0.0.0_0028,Env,lumi.54ef4410004b0fdb
