,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-07 22:51:S.000000,2023-08-08 00:30:S.000000,2023-08-08,2023-08-08 00:13:S.000000,2023-08-08 02:42:S.000000,4440,1,3480,0,0,5580,1140,0.2,3480,0,1320,0,1,1140,0
1,2023-08-08 02:43:S.000000,2023-08-08 08:43:S.000000,2023-08-08,2023-08-08 06:01:S.000000,2023-08-08 10:46:S.000000,4080,3,1620,4980,0,19980,15900,0.8,1620,0,4080,3,4,7140,3780
2,2023-08-08 23:51:S.000000,2023-08-09 10:44:S.000000,2023-08-09,2023-08-09 01:25:S.000000,2023-08-09 12:48:S.000000,12540,8,420,1920,0,33960,21420,0.63,420,0,17340,1,11,14880,4620
3,2023-08-09 14:26:S.000000,2023-08-09 16:57:S.000000,2023-08-09,2023-08-09 16:23:S.000000,2023-08-09 19:01:S.000000,3900,1,2580,0,660,9000,5100,0.57,2580,660,720,0,1,3660,1440
4,2023-08-10 01:17:S.000000,2023-08-10 10:05:S.000000,2023-08-10,2023-08-10 06:02:S.000000,2023-08-10 12:08:S.000000,2160,2,2160,3180,0,31260,29100,0.93,2160,0,420,2,2,22440,3480
5,2023-08-10 15:23:S.000000,2023-08-10 17:22:S.000000,2023-08-10,2023-08-10 17:23:S.000000,2023-08-10 19:25:S.000000,840,0,840,1260,0,7140,6300,0.88,840,0,0,1,0,4440,600
6,2023-08-11 02:42:S.000000,2023-08-11 10:31:S.000000,2023-08-11,2023-08-11 03:25:S.000000,2023-08-11 12:34:S.000000,2820,4,1140,2700,0,26040,23220,0.89,1140,0,3780,2,2,14580,5940
7,2023-08-12 04:21:S.000000,2023-08-12 09:25:S.000000,2023-08-12,2023-08-12 07:14:S.000000,2023-08-12 11:28:S.000000,1140,1,900,1680,0,18060,16920,0.94,900,0,420,2,1,12300,2940
8,2023-08-13 16:46:S.000000,2023-08-13 17:53:S.000000,2023-08-13,2023-08-13 17:55:S.000000,2023-08-13 19:56:S.000000,2160,0,2160,0,0,4020,1860,0.46,2160,0,0,0,0,240,1620
9,2023-08-13 23:52:S.000000,2023-08-14 14:38:S.000000,2023-08-14,2023-08-14 02:32:S.000000,2023-08-14 16:41:S.000000,5400,8,2340,7260,0,44040,38640,0.88,2340,0,12180,9,9,22380,9000
