,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-14 07:31:S.000000,2023-08-14 12:20:S.000000,2023-08-14,2023-08-14 09:17:S.000000,2023-08-14 14:23:S.000000,1500,5,780,960,0,15720,14220,0.9,780,0,2340,2,5,9780,3480
1,2023-08-16 04:53:S.000000,2023-08-16 12:54:S.000000,2023-08-16,2023-08-16 09:30:S.000000,2023-08-16 14:57:S.000000,4560,4,960,1380,1620,27000,22440,0.83,960,1620,3840,1,5,14700,6360
2,2023-08-17 07:03:S.000000,2023-08-17 09:36:S.000000,2023-08-17,2023-08-17 08:42:S.000000,2023-08-17 11:39:S.000000,1260,1,1200,0,0,9060,7800,0.86,1200,0,180,0,0,3120,4680
3,2023-08-17 11:46:S.000000,2023-08-17 12:28:S.000000,2023-08-17,2023-08-17 12:29:S.000000,2023-08-17 14:31:S.000000,1380,0,720,0,660,2520,1140,0.45,720,660,0,0,0,300,840
4,2023-08-18 11:01:S.000000,2023-08-18 12:16:S.000000,2023-08-18,2023-08-18 12:18:S.000000,2023-08-18 14:19:S.000000,1920,0,1920,0,0,4500,2580,0.57,1920,0,0,0,0,1920,660
5,2023-08-18 17:59:S.000000,2023-08-18 19:59:S.000000,2023-08-18,2023-08-18 18:11:S.000000,2023-08-18 22:02:S.000000,3000,1,540,120,0,6360,3360,0.53,540,0,3300,0,3,1680,1560
6,2023-08-19 04:49:S.000000,2023-08-19 07:52:S.000000,2023-08-19,2023-08-19 07:53:S.000000,2023-08-19 09:56:S.000000,6780,0,6780,0,0,10980,4200,0.38,6780,0,0,0,0,1620,2580
7,2023-08-19 12:34:S.000000,2023-08-19 14:57:S.000000,2023-08-19,2023-08-19 13:42:S.000000,2023-08-19 17:01:S.000000,5520,2,1740,120,600,7920,2400,0.3,1740,600,3840,1,3,2280,0
8,2023-08-20 04:03:S.000000,2023-08-20 08:46:S.000000,2023-08-20,2023-08-20 04:58:S.000000,2023-08-20 10:49:S.000000,2880,4,1500,2580,0,10800,7920,0.73,1500,0,7560,3,6,2100,3240
9,2023-08-20 13:05:S.000000,2023-08-20 14:12:S.000000,2023-08-20,2023-08-20 13:46:S.000000,2023-08-20 16:23:S.000000,1980,1,420,780,0,3960,1980,0.5,420,0,1620,1,1,1200,0
10,2023-08-21 04:15:S.000000,2023-08-21 11:47:S.000000,2023-08-21,2023-08-21 10:50:S.000000,2023-08-21 13:50:S.000000,4620,2,2040,2940,0,26820,22200,0.83,2040,0,2880,2,2,14580,4680
