,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-14 01:21:S.000000,2023-08-14 09:36:S.000000,2023-08-14,2023-08-14 05:57:S.000000,2023-08-14 12:26:S.000000,6420,6,3000,5280,1020,29160,22740,0.78,3000,1020,2940,5,4,7740,9720
1,2023-08-15 03:07:S.000000,2023-08-15 09:06:S.000000,2023-08-15,2023-08-15 07:52:S.000000,2023-08-15 11:57:S.000000,6540,5,2280,1140,780,21360,14820,0.69,2280,780,3660,2,1,10320,3360
2,2023-08-16 02:33:S.000000,2023-08-16 09:33:S.000000,2023-08-16,2023-08-16 03:22:S.000000,2023-08-16 11:36:S.000000,7020,8,840,2820,0,22620,15600,0.69,840,0,8760,8,7,8280,4500
3,2023-08-17 02:30:S.000000,2023-08-17 09:11:S.000000,2023-08-17,2023-08-17 03:26:S.000000,2023-08-17 11:14:S.000000,3780,8,1440,3180,0,23160,19380,0.84,1440,0,3240,2,6,10560,5640
4,2023-08-17 19:13:S.000000,2023-08-17 20:27:S.000000,2023-08-17,2023-08-17 20:30:S.000000,2023-08-17 22:30:S.000000,2160,0,1560,1020,600,4440,2280,0.51,1560,600,0,0,0,0,1260
5,2023-08-18 01:26:S.000000,2023-08-18 10:10:S.000000,2023-08-18,2023-08-18 06:01:S.000000,2023-08-18 12:14:S.000000,9180,4,3840,3900,0,31080,21900,0.7,3840,0,5700,3,2,9600,8400
6,2023-08-19 02:27:S.000000,2023-08-19 11:08:S.000000,2023-08-19,2023-08-19 03:08:S.000000,2023-08-19 13:11:S.000000,7560,9,1740,4980,0,29160,21600,0.74,1740,0,7920,5,5,9240,7380
7,2023-08-20 02:43:S.000000,2023-08-20 09:30:S.000000,2023-08-20,2023-08-20 04:42:S.000000,2023-08-20 11:33:S.000000,5940,13,1380,1200,0,22620,16680,0.74,1380,0,6360,2,11,9540,5940
8,2023-08-21 04:24:S.000000,2023-08-21 09:45:S.000000,2023-08-21,2023-08-21 05:27:S.000000,2023-08-21 11:49:S.000000,1800,6,480,3660,0,17760,15960,0.9,480,0,2820,1,5,7680,4620
9,2023-08-21 14:48:S.000000,2023-08-21 16:49:S.000000,2023-08-21,2023-08-21 16:01:S.000000,2023-08-21 18:52:S.000000,4020,2,2460,720,1200,6600,2580,0.39,2460,1200,1020,3,3,420,1440
