,startdate,enddate,date,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
0,2023-08-13 23:52:S.000000,2023-08-14 00:53:S.000000,2023-08-14,2023-08-14 00:54:S.000000,2023-08-14 03:00:S.000000,780,0,780,0,0,3660,2880,0.79,780,0,0,0,0,2880,0
1,2023-08-14 03:02:S.000000,2023-08-14 13:31:S.000000,2023-08-14,2023-08-14 08:36:S.000000,2023-08-14 15:34:S.000000,3540,1,1740,6300,1560,32460,28920,0.89,1740,1560,5520,8,5,12240,10380
2,2023-08-14 22:49:S.000000,2023-08-14 23:16:S.000000,2023-08-14,2023-08-14 23:17:S.000000,2023-08-15 01:20:S.000000,1260,0,1260,0,0,1620,360,0.22,1260,0,0,0,5,360,0
3,2023-08-15 03:22:S.000000,2023-08-15 08:51:S.000000,2023-08-15,2023-08-15 08:13:S.000000,2023-08-15 11:17:S.000000,1560,1,1500,2640,0,19200,17640,0.92,1500,0,600,3,11,6060,8940
